Platform_X,Platform_Y,Platform_Z,Roll_deg,Pitch_deg,Yaw_deg
1.352267450533885551e+01,-8.157366684488096098e+00,2.854738593700742513e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.365077778239777473e+01,-8.157770876616304179e+00,2.854605939548735023e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.377897427622822590e+01,-8.158161846268285444e+00,2.854477169385710340e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.390726285727835432e+01,-8.158539718314635536e+00,2.854352179939780285e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.403564239599625552e+01,-8.158904617625957201e+00,2.854230867939057248e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.416411176283009610e+01,-8.159256669072888712e+00,2.854113130111652481e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.429266982822801424e+01,-8.159595997526047029e+00,2.853998863185679511e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.442131546263811970e+01,-8.159922727855999369e+00,2.853887963889250159e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.455004753650856486e+01,-8.160236984933391113e+00,2.853780328950475678e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.467886492028746659e+01,-8.160538893628832113e+00,2.853675855097468457e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.480776648442298438e+01,-8.160828578812946432e+00,2.853574439058342023e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.493675109936324219e+01,-8.161106165356336817e+00,2.853475977561207628e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.506581763555633557e+01,-8.161371778129620225e+00,2.853380367334177663e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.519496496345047376e+01,-8.161625542003392297e+00,2.853287505105363380e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.532419195349370966e+01,-8.161867581848284203e+00,2.853197287602878305e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.545349747613423830e+01,-8.162098022534891584e+00,2.853109611554834260e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.558288040182016232e+01,-8.162316988933859818e+00,2.853024373689343065e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.571233960099961990e+01,-8.162524605915770337e+00,2.852941470734517679e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.584187394412075633e+01,-8.162720998351240098e+00,2.852860799418468787e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.597148230163168847e+01,-8.162906291110907375e+00,2.852782256469311051e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.610116354398056870e+01,-8.163080609065367810e+00,2.852705738615153450e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.623091654161551389e+01,-8.163244077085224149e+00,2.852631142584110648e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.636074016498466932e+01,-8.163396820041093349e+00,2.852558365104293898e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.649063328453615895e+01,-8.163538962803620791e+00,2.852487302903816158e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
